Date,Snow_Cover_Percentage,DSSM,NDVI_nonSR_Min,NDVI_nonSR_Median,NDVI_nonSR_Max,NEE_U50_f,VPD_f,TA,TA_min,TA_max,RG,RG_min,RG_max,RH,SWC_10cm,TS_10cm,D_SNOW,precipitation_rate,TA_lag1d,TA_lag3d,TA_lag7d,TA_lag14d,TS_lag1d,TS_lag3d,TS_lag7d,TS_lag14d,SWC_lag1d,SWC_lag3d,SWC_lag7d,SWC_lag14d,P_lag1d,P_lag3d,P_lag7d,P_lag14d
2018-01-11,100,-194,0.0,0.02,0.04,,,-9.88,-13.77,-4.71,-0.64,-2.95,5.43,83.57,11.9,-12.72,0.32,4.2,-19.74,-23.19,-26.5,,-13.32,-13.5,-13.0,,11.88,11.88,11.96,,0.0,0.0,0.0,
2018-01-12,100,-193,0.0,0.02,0.04,,,-13.35,-18.59,-9.22,-0.97,-2.95,5.23,84.4,11.93,-12.06,0.33,2.5,-9.88,-17.68,-23.46,,-12.72,-13.22,-13.1,,11.9,11.88,11.93,,4.2,4.2,4.2,
2018-01-13,100,-192,0.0,0.02,0.04,,,-13.57,-19.67,-10.03,-1.18,-2.95,4.46,81.72,11.95,-11.66,0.35,1.0,-13.35,-14.32,-21.61,,-12.06,-12.7,-13.04,,11.93,11.9,11.92,,2.5,6.7,6.7,
2018-01-14,100,-191,0.0,0.02,0.04,,,-11.07,-12.59,-8.92,-1.29,-2.95,3.39,83.82,11.98,-11.28,0.34,26.8,-13.57,-12.27,-19.38,,-11.66,-12.15,-12.88,,11.95,11.93,11.91,,1.0,7.7,7.7,
2018-01-15,100,-190,0.0,0.02,0.04,0.14,0.24,-9.92,-10.87,-8.63,-1.31,-1.87,-0.94,91.71,12.0,-10.96,0.58,17.8,-11.07,-12.66,-16.78,-22.64,-11.28,-11.67,-12.6,-12.28,11.98,11.95,11.92,12.01,26.8,30.3,34.5,34.5
2018-01-16,100,-189,0.0,0.02,0.04,0.15,0.26,-6.99,-8.92,-5.77,-1.42,-1.9,-1.01,92.7,12.02,-10.62,0.67,11.7,-9.93,-11.52,-14.42,-21.41,-10.96,-11.3,-12.23,-12.31,12.0,11.98,11.93,11.99,17.8,45.6,52.3,52.3
2018-01-17,100,-188,0.0,0.02,0.04,0.15,0.32,-6.59,-7.47,-5.39,-1.63,-2.0,-1.41,91.48,12.04,-10.32,0.79,2.4,-6.99,-9.33,-12.08,-20.04,-10.62,-10.95,-11.8,-12.27,12.02,12.0,11.95,11.98,11.7,56.3,64.0,64.0
2018-01-18,100,-187,0.0,0.02,0.04,0.13,0.71,-4.66,-5.44,-4.07,-2.43,-3.24,-1.83,83.62,12.06,-10.06,0.79,0.0,-6.59,-7.84,-10.2,-18.35,-10.32,-10.63,-11.38,-12.19,12.04,12.02,11.97,11.97,2.4,31.9,66.4,66.4
2018-01-19,100,-186,0.0,0.02,0.04,0.13,1.41,-5.75,-6.94,-4.73,-2.65,-4.44,-1.89,64.52,12.08,-9.81,0.77,0.0,-4.66,-6.08,-9.45,-16.45,-10.06,-10.33,-10.99,-12.05,12.06,12.04,12.0,11.96,0.0,14.1,62.2,66.4
2018-01-20,100,-185,0.0,0.02,0.04,0.09,0.8,-11.59,-16.16,-8.62,-2.57,-4.13,-1.45,68.06,12.1,-9.59,0.76,0.0,-5.75,-5.66,-8.36,-14.99,-9.81,-10.06,-10.67,-11.86,12.08,12.06,12.02,11.97,0.0,2.4,59.7,66.4
2018-01-21,100,-184,0.0,0.02,0.04,0.05,0.36,-21.3,-24.72,-16.4,-3.41,-4.08,-2.17,69.24,12.12,-9.45,0.76,0.0,-11.59,-7.33,-8.08,-13.73,-9.59,-9.82,-10.38,-11.63,12.1,12.08,12.04,11.98,0.0,0.0,58.7,66.4
2018-01-22,100,-183,0.0,0.02,0.04,0.08,0.35,-23.16,-24.95,-21.29,-3.3,-4.46,-2.44,62.96,12.12,-9.48,0.76,0.0,-21.3,-12.88,-9.54,-13.16,-9.45,-9.62,-10.12,-11.36,12.12,12.1,12.06,11.99,0.0,0.0,31.9,66.4
2018-01-23,100,-182,0.0,0.02,0.04,0.08,0.36,-23.77,-25.26,-21.2,-3.14,-4.07,-1.64,60.16,12.12,-9.68,0.75,0.0,-23.16,-18.68,-11.43,-12.93,-9.48,-9.51,-9.9,-11.07,12.12,12.11,12.08,12.0,0.0,0.0,14.1,66.4
2018-01-24,100,-181,0.0,0.02,0.04,0.06,0.62,-19.74,-23.33,-12.96,-2.9,-4.69,-0.88,53.77,12.11,-9.91,0.75,0.0,-23.77,-22.74,-13.83,-12.95,-9.68,-9.53,-9.77,-10.79,12.12,12.12,12.09,12.02,0.0,0.0,2.4,66.4
2018-01-25,100,-180,0.0,0.02,0.04,0.03,0.49,-20.61,-26.47,-14.04,-2.41,-4.44,-0.82,62.13,12.1,-10.11,0.75,0.0,-19.74,-22.23,-15.71,-12.95,-9.91,-9.69,-9.71,-10.54,12.11,12.12,12.1,12.04,0.0,0.0,0.0,66.4
2018-01-26,100,-179,0.0,0.02,0.04,0.0,0.18,-27.64,-29.34,-26.17,-2.55,-3.86,-1.24,71.53,12.09,-10.21,0.76,0.0,-20.61,-21.37,-17.99,-13.72,-10.11,-9.9,-9.72,-10.36,12.1,12.11,12.11,12.05,0.0,0.0,0.0,62.2
2018-01-27,100,-178,0.0,0.02,0.04,0.03,0.24,-25.63,-27.15,-22.78,-2.11,-2.92,-0.97,66.8,12.08,-10.36,0.75,0.0,-27.64,-22.66,-21.12,-14.74,-10.21,-10.08,-9.78,-10.22,12.09,12.1,12.11,12.06,0.0,0.0,0.0,59.7
2018-01-28,100,-177,0.0,0.02,0.04,0.04,0.29,-22.53,-24.1,-20.76,-1.36,-2.07,-0.46,66.4,12.07,-10.53,0.76,0.0,-25.63,-24.63,-23.12,-15.6,-10.36,-10.22,-9.88,-10.13,12.08,12.09,12.11,12.07,0.0,0.0,0.0,58.7
2018-01-29,100,-176,0.0,0.02,0.04,0.06,0.3,-22.93,-23.51,-22.54,-1.59,-2.33,-0.9,64.78,12.06,-10.71,0.76,0.0,-22.53,-25.27,-23.3,-16.42,-10.53,-10.37,-10.04,-10.08,12.07,12.08,12.1,12.08,0.0,0.0,0.0,31.9
2018-01-30,100,-175,0.0,0.02,0.04,0.06,0.34,-23.72,-24.74,-22.92,-1.81,-2.69,-0.85,66.04,12.05,-10.82,0.74,0.0,-22.93,-23.7,-23.26,-17.35,-10.71,-10.53,-10.22,-10.06,12.06,12.07,12.09,12.08,0.0,0.0,0.0,14.1
2018-01-31,100,-174,0.0,0.02,0.04,0.05,0.36,-22.87,-22.87,-22.87,-0.78,-0.78,-0.78,61.34,12.05,-10.88,0.77,0.0,-23.72,-23.06,-23.26,-18.54,-10.82,-10.69,-10.38,-10.07,12.05,12.06,12.08,12.09,0.0,0.0,0.0,2.4
2018-02-01,100,-173,0.0,0.02,0.04,0.02,0.39,-25.79,-25.99,-25.58,-1.18,-2.29,-0.07,65.57,12.04,-10.99,0.74,0.0,-22.87,-23.17,-23.7,-19.71,-10.88,-10.8,-10.52,-10.11,12.05,12.05,12.07,12.09,0.0,0.0,0.0,0.0
2018-02-02,100,-172,0.0,0.02,0.04,0.03,0.42,-7.88,-22.36,-5.03,-1.3,-2.85,1.07,80.38,12.03,-11.12,0.75,2.2,-25.79,-24.12,-24.44,-21.22,-10.99,-10.9,-10.64,-10.18,12.04,12.05,12.06,12.08,0.0,0.0,0.0,0.0
2018-02-03,100,-171,0.0,0.02,0.04,0.06,0.35,-9.12,-15.4,-5.44,-0.89,-2.66,3.15,87.97,12.02,-11.17,0.74,9.0,-7.88,-18.85,-21.62,-21.37,-11.12,-11.0,-10.77,-10.27,12.03,12.04,12.05,12.08,2.2,2.2,2.2,2.2
2018-02-04,100,-170,0.0,0.02,0.04,0.08,0.35,-16.0,-18.71,-13.31,-3.13,-5.35,-0.85,86.27,12.02,-10.99,0.79,4.9,-9.12,-14.26,-19.26,-21.19,-11.17,-11.1,-10.89,-10.39,12.02,12.03,12.05,12.08,9.0,11.2,11.2,11.2
2018-02-05,100,-169,0.0,0.02,0.04,0.09,0.47,-15.26,-21.0,-12.46,-3.24,-5.23,0.94,68.31,12.03,-10.78,0.8,0.0,-16.0,-11.0,-18.33,-20.81,-10.99,-11.09,-10.95,-10.5,12.02,12.02,12.04,12.07,4.9,16.1,16.1,16.1
2018-02-06,100,-168,0.0,0.02,0.04,0.07,0.37,-24.49,-27.41,-20.71,-3.18,-4.37,-1.2,57.17,12.04,-10.6,0.79,0.0,-15.26,-13.46,-17.23,-20.25,-10.78,-10.98,-10.96,-10.59,12.03,12.02,12.03,12.06,0.0,13.9,16.1,16.1
2018-02-07,100,-167,0.0,0.02,0.04,0.07,0.33,-28.62,-30.92,-26.94,-3.0,-4.19,-0.36,59.04,12.04,-10.51,0.78,0.0,-24.49,-18.58,-17.34,-20.3,-10.6,-10.79,-10.93,-10.66,12.04,12.03,12.03,12.06,0.0,4.9,16.1,16.1
2018-02-08,100,-166,0.0,0.02,0.04,0.06,0.35,-21.58,-28.26,-18.45,-1.9,-2.9,1.19,66.27,12.05,-10.5,0.76,0.4,-28.62,-22.79,-18.16,-20.93,-10.51,-10.63,-10.88,-10.7,12.04,12.04,12.03,12.05,0.0,0.0,16.1,16.1
2018-02-09,100,-165,0.0,0.02,0.04,0.1,0.35,-16.67,-19.98,-14.01,0.28,-2.45,9.1,79.24,12.05,-10.55,0.74,2.8,-21.58,-24.9,-17.56,-21.0,-10.5,-10.54,-10.81,-10.73,12.05,12.04,12.03,12.05,0.4,0.4,16.5,16.5
2018-02-10,100,-164,0.0,0.02,0.04,0.1,0.48,-21.71,-23.13,-20.3,-1.2,-2.3,-0.11,79.68,12.05,-10.57,0.77,0.0,-16.67,-22.29,-18.82,-20.22,-10.55,-10.52,-10.73,-10.75,12.05,12.05,12.04,12.04,2.8,3.2,17.1,19.3
2018-02-11,100,-163,0.0,0.02,0.04,0.11,0.53,-13.68,-21.8,-11.87,-2.09,-5.24,-0.97,61.03,12.05,-10.54,0.76,0.0,-21.71,-19.99,-20.62,-19.94,-10.57,-10.54,-10.64,-10.76,12.05,12.05,12.04,12.04,0.0,3.2,8.1,19.3
2018-02-12,100,-162,0.0,0.02,0.04,0.16,0.31,-10.65,-13.74,-7.08,0.57,-1.98,14.26,87.45,12.05,-10.54,0.79,22.4,-13.68,-17.36,-20.29,-19.31,-10.54,-10.55,-10.58,-10.76,12.05,12.05,12.04,12.04,0.0,2.8,3.2,19.3
2018-02-13,100,-161,0.0,0.02,0.04,0.01,0.19,-6.25,-7.15,-5.74,0.74,-1.78,14.29,94.97,12.05,-10.51,1.21,15.2,-10.65,-15.35,-19.63,-18.43,-10.54,-10.55,-10.54,-10.75,12.05,12.05,12.05,12.04,22.4,22.4,25.6,41.7
2018-02-14,100,-160,0.0,0.02,0.04,-0.0,0.2,-5.35,-5.94,-4.29,1.32,-1.66,23.0,95.01,12.05,-10.39,1.22,15.6,-6.25,-10.19,-17.02,-17.18,-10.51,-10.53,-10.53,-10.73,12.05,12.05,12.05,12.04,15.2,37.6,40.8,56.9
2018-02-15,100,-159,0.0,0.02,0.04,0.01,0.16,-3.09,-4.11,-1.56,1.73,-1.92,21.7,96.63,12.06,-10.23,1.31,22.4,-5.35,-7.42,-13.7,-15.93,-10.39,-10.48,-10.51,-10.7,12.05,12.05,12.05,12.04,15.6,53.2,56.4,72.5
2018-02-16,100,-158,0.0,0.02,0.04,-0.01,0.12,-1.4,-1.99,-1.03,0.91,-1.91,13.17,97.86,12.07,-10.07,1.36,26.0,-3.09,-4.89,-11.06,-14.31,-10.23,-10.38,-10.48,-10.64,12.06,12.05,12.05,12.04,22.4,53.2,78.4,94.9
2018-02-17,100,-157,0.0,0.02,0.04,-0.01,0.22,-0.94,-2.1,-0.3,3.67,-2.35,34.04,96.19,12.08,-9.92,1.39,1.7,-1.4,-3.28,-8.88,-13.85,-10.07,-10.23,-10.41,-10.57,12.07,12.06,12.05,12.04,26.0,64.0,101.6,118.7
2018-02-18,100,-156,0.0,0.02,0.04,0.02,0.5,-5.71,-12.23,-0.73,4.43,-3.78,69.32,87.06,12.08,-9.76,1.33,0.0,-0.94,-1.81,-5.91,-13.26,-9.92,-10.07,-10.32,-10.48,12.08,12.07,12.06,12.05,1.7,50.1,103.3,111.4
2018-02-19,100,-155,0.0,0.02,0.04,-0.0,0.65,-9.91,-13.89,-4.33,4.22,-3.98,34.72,78.1,12.09,-9.61,1.29,1.1,-5.7,-2.68,-4.77,-12.53,-9.76,-9.92,-10.2,-10.39,12.08,12.08,12.06,12.05,0.0,27.7,103.3,106.5
2018-02-20,100,-154,0.0,0.02,0.04,0.02,0.4,-3.89,-6.01,-1.75,5.07,-2.17,41.06,91.46,12.1,-9.46,1.34,8.9,-9.91,-5.52,-4.66,-12.15,-9.61,-9.76,-10.07,-10.31,12.09,12.08,12.07,12.06,1.1,2.8,82.0,107.6
2018-02-21,100,-153,0.0,0.02,0.04,0.0,0.33,-7.58,-15.46,-1.14,7.99,-3.88,84.21,90.73,12.11,-9.32,1.28,0.6,-3.89,-6.5,-4.33,-10.68,-9.46,-9.61,-9.92,-10.22,12.1,12.09,12.08,12.06,8.9,10.0,75.7,116.5
2018-02-22,100,-152,0.0,0.02,0.04,0.03,0.34,-4.24,-10.9,-2.63,3.65,-2.27,26.08,91.77,12.12,-9.2,1.36,33.4,-7.58,-7.13,-4.64,-9.17,-9.32,-9.46,-9.77,-10.14,12.11,12.1,12.08,12.07,0.6,10.6,60.7,117.1
2018-02-23,100,-151,0.0,0.02,0.04,0.01,0.18,-6.4,-11.9,-2.59,8.49,-4.68,73.73,95.1,12.13,-9.09,1.47,3.9,-4.24,-5.24,-4.81,-7.93,-9.2,-9.32,-9.62,-10.05,12.12,12.11,12.09,12.07,33.4,42.9,71.7,150.1
2018-02-24,100,-150,0.0,0.02,0.04,0.0,0.18,-2.91,-8.43,0.12,3.74,-2.6,35.91,96.03,12.14,-8.99,1.51,24.0,-6.4,-6.08,-5.52,-7.2,-9.09,-9.2,-9.48,-9.94,12.13,12.12,12.1,12.08,3.9,37.9,49.6,151.2
2018-02-25,100,-149,0.0,0.02,0.04,0.0,0.13,-4.63,-10.92,0.09,12.18,-3.51,100.64,96.53,12.15,-8.9,1.58,0.3,-2.91,-4.52,-5.81,-5.86,-8.99,-9.09,-9.35,-9.83,12.14,12.13,12.11,12.08,24.0,61.3,71.9,175.2
2018-02-26,100,-148,0.0,0.02,0.04,0.04,0.28,-4.23,-6.7,-3.08,9.69,-2.73,55.11,93.87,12.16,-8.81,1.57,0.8,-4.63,-4.65,-5.65,-5.21,-8.9,-8.99,-9.22,-9.71,12.15,12.14,12.12,12.09,0.3,28.2,72.2,175.5
2018-02-27,100,-147,0.0,0.02,0.04,-0.01,0.34,-11.29,-18.95,-4.46,10.99,-3.93,62.53,87.3,12.16,-8.73,1.55,0.0,-4.23,-3.92,-4.84,-4.75,-8.81,-8.9,-9.11,-9.59,12.16,12.15,12.13,12.1,0.8,25.1,71.9,153.9
2018-02-28,100,-146,0.0,0.02,0.04,-0.04,0.48,-17.49,-21.02,-14.64,22.74,-4.26,133.37,69.12,12.17,-8.65,1.51,0.0,-11.29,-6.72,-5.9,-5.11,-8.73,-8.81,-9.0,-9.46,12.16,12.16,12.14,12.11,0.0,1.1,63.0,138.7
2018-03-01,100,-145,0.0,0.02,0.04,-0.05,0.5,-18.58,-21.92,-15.21,-2.97,-4.84,-0.36,65.44,12.18,-8.57,1.5,0.0,-17.48,-11.0,-7.31,-5.98,-8.65,-8.73,-8.91,-9.34,12.17,12.16,12.15,12.12,0.0,0.8,62.4,123.1
2018-03-02,100,-144,0.0,0.02,0.04,-0.01,0.44,-20.58,-22.19,-18.53,-1.89,-3.09,0.22,72.11,12.19,-8.5,1.49,0.0,-18.58,-15.78,-9.36,-7.09,-8.57,-8.65,-8.82,-9.22,12.18,12.17,12.16,12.12,0.0,0.0,29.0,100.7
2018-03-03,100,-143,0.0,0.02,0.04,-0.0,0.34,-20.57,-22.21,-18.61,-1.63,-3.11,-0.62,74.8,12.2,-8.45,1.48,0.0,-20.58,-18.88,-11.39,-8.46,-8.5,-8.57,-8.73,-9.11,12.19,12.18,12.16,12.13,0.0,0.0,25.1,74.7
2018-03-04,100,-142,0.0,0.02,0.04,0.01,0.28,-21.92,-24.49,-18.36,10.35,-2.95,125.9,68.22,12.2,-8.38,1.47,0.0,-20.57,-19.91,-13.91,-9.86,-8.45,-8.51,-8.66,-9.0,12.2,12.19,12.17,12.14,0.0,0.0,1.1,73.0
2018-03-05,100,-141,0.0,0.02,0.04,0.0,0.26,-27.87,-29.07,-23.32,-2.26,-2.73,-1.02,68.91,12.21,-8.35,1.45,0.0,-21.92,-21.02,-16.38,-11.02,-8.38,-8.44,-8.58,-8.9,12.2,12.2,12.18,12.15,0.0,0.0,0.8,73.0
2018-03-06,100,-140,0.0,0.02,0.03,-0.0,0.31,-27.04,-29.38,-25.82,-2.63,-3.43,0.25,65.36,12.21,-8.33,1.45,0.0,-27.87,-23.45,-19.76,-12.3,-8.35,-8.39,-8.52,-8.81,12.21,12.2,12.19,12.16,0.0,0.0,0.0,71.9
2018-03-07,100,-139,0.0,0.02,0.03,,0.37,-25.35,-27.43,-18.71,-2.73,-3.51,1.62,62.36,12.22,-8.32,1.46,0.0,-27.04,-25.61,-22.01,-13.95,-8.33,-8.35,-8.46,-8.73,12.21,12.21,12.19,12.17,0.0,0.0,0.0,63.0
2018-03-08,100,-138,0.0,0.02,0.03,,0.25,-19.23,-19.57,-18.89,0.03,-0.57,0.63,70.81,12.22,-8.32,1.49,0.0,-25.35,-26.76,-23.13,-15.22,-8.32,-8.33,-8.41,-8.66,12.22,12.21,12.2,12.17,0.0,0.0,0.0,62.4
2018-03-09,100,-137,0.0,0.02,0.03,,0.22,-28.17,-31.01,-26.27,-1.88,-3.05,-0.54,72.87,12.22,-8.33,1.44,0.0,-19.23,-23.87,-23.22,-16.29,-8.32,-8.32,-8.38,-8.6,12.22,12.22,12.21,12.18,0.0,0.0,0.0,29.0
2018-03-10,100,-136,0.0,0.02,0.03,,0.36,-17.94,-25.58,-12.89,0.15,-2.26,3.46,62.09,12.22,-8.35,1.5,0.0,-28.17,-24.25,-24.31,-17.85,-8.33,-8.32,-8.35,-8.54,12.22,12.22,12.21,12.19,0.0,0.0,0.0,25.1
2018-03-11,100,-135,0.0,0.02,0.03,,0.34,-24.71,-25.72,-24.25,24.54,-1.47,101.37,73.55,12.22,-8.37,1.46,0.0,-17.94,-21.78,-23.93,-18.92,-8.35,-8.33,-8.34,-8.5,12.22,12.22,12.21,12.19,0.0,0.0,0.0,1.1
2018-03-12,100,-134,0.01,0.02,0.03,,0.32,-23.66,-26.0,-21.32,0.0,-0.08,0.08,75.28,12.22,-8.4,1.47,0.3,-24.71,-23.61,-24.33,-20.36,-8.37,-8.35,-8.34,-8.46,12.22,12.22,12.22,12.2,0.0,0.0,0.0,0.8
2018-03-13,100,-133,0.01,0.02,0.03,,0.31,-20.26,-21.79,-18.18,0.37,-0.54,1.59,80.26,12.22,-8.43,1.5,1.7,-23.66,-22.1,-23.73,-21.74,-8.4,-8.37,-8.34,-8.43,12.22,12.22,12.22,12.2,0.3,0.3,0.3,0.3
2018-03-14,100,-132,0.01,0.02,0.03,,0.37,-20.17,-30.05,-17.54,-0.54,-1.32,1.53,81.65,12.22,-8.46,1.53,2.2,-20.26,-22.88,-22.76,-22.38,-8.43,-8.4,-8.36,-8.41,12.22,12.22,12.22,12.21,1.7,2.0,2.0,2.0
2018-03-15,100,-131,0.01,0.02,0.03,,0.42,-21.5,-26.69,-18.52,29.91,-1.36,181.23,64.77,12.21,-8.5,1.52,0.0,-20.17,-21.36,-22.02,-22.57,-8.46,-8.43,-8.38,-8.4,12.22,12.22,12.22,12.21,2.2,4.2,4.2,4.2
2018-03-16,100,-130,0.01,0.02,0.03,,0.46,-18.87,-24.16,-10.24,-1.32,-4.38,2.96,70.67,12.21,-8.54,1.54,0.0,-21.5,-20.64,-22.34,-22.78,-8.5,-8.47,-8.41,-8.39,12.21,12.22,12.22,12.21,0.0,3.9,4.2,4.2
2018-03-17,100,-129,0.0,0.02,0.03,,0.44,-21.31,-27.24,-16.75,46.29,-8.75,140.7,66.97,12.21,-8.56,1.52,0.0,-18.87,-20.18,-21.02,-22.66,-8.54,-8.5,-8.44,-8.39,12.21,12.21,12.22,12.21,0.0,2.2,4.2,4.2
2018-03-18,100,-128,0.0,0.01,0.03,,0.46,-17.44,-18.11,-16.76,0.88,-0.63,3.92,69.48,12.21,-8.6,1.54,0.0,-21.31,-20.56,-21.5,-22.71,-8.56,-8.53,-8.47,-8.4,12.21,12.21,12.22,12.22,0.0,0.0,4.2,4.2
2018-03-19,100,-127,0.0,0.01,0.02,,0.38,-19.19,-19.54,-18.84,115.12,54.0,176.23,73.22,12.21,-8.62,1.53,0.0,-17.44,-19.21,-20.46,-22.39,-8.6,-8.57,-8.5,-8.42,12.21,12.21,12.21,12.22,0.0,0.0,4.2,4.2
2018-03-20,100,-126,0.0,0.01,0.02,,0.42,-21.15,-24.67,-16.4,49.49,-2.85,155.56,69.8,12.21,-8.65,1.52,0.0,-19.19,-19.32,-19.82,-21.77,-8.62,-8.6,-8.53,-8.44,12.21,12.21,12.21,12.22,0.0,0.0,3.9,4.2
2018-03-21,100,-125,0.0,0.01,0.02,,0.4,-21.17,-26.34,-18.62,94.08,-2.17,172.21,71.57,12.2,-8.68,1.52,0.0,-21.15,-19.26,-19.95,-21.35,-8.65,-8.63,-8.56,-8.46,12.21,12.21,12.21,12.22,0.0,0.0,2.2,4.2
2018-03-22,100,-124,0.0,0.01,0.02,,0.41,-17.98,-19.6,-16.49,0.31,-1.2,2.39,74.34,12.2,-8.71,1.53,0.0,-21.17,-20.5,-20.09,-21.05,-8.68,-8.65,-8.6,-8.49,12.2,12.21,12.21,12.21,0.0,0.0,0.0,4.2
2018-03-23,100,-123,0.0,0.01,0.02,,0.4,-11.9,-14.26,-10.41,0.03,-1.14,3.19,80.06,12.2,-8.74,1.55,0.0,-17.98,-20.1,-19.59,-20.96,-8.71,-8.68,-8.62,-8.52,12.2,12.2,12.21,12.21,0.0,0.0,0.0,4.2
2018-03-24,100,-122,0.0,0.01,0.02,,0.34,-16.85,-19.65,-12.43,-0.63,-1.66,0.95,82.25,12.2,-8.76,1.52,0.0,-11.9,-17.02,-18.59,-19.8,-8.74,-8.71,-8.65,-8.54,12.2,12.2,12.21,12.21,0.0,0.0,0.0,4.2
2018-03-25,100,-121,0.0,0.01,0.02,,0.33,-20.03,-23.14,-18.02,40.2,-1.84,113.5,81.84,12.2,-8.78,1.5,0.0,-16.85,-15.58,-17.95,-19.73,-8.76,-8.73,-8.68,-8.57,12.2,12.2,12.2,12.21,0.0,0.0,0.0,4.2
2018-03-26,100,-120,0.0,0.01,0.02,,0.35,-19.55,-26.46,-16.46,242.86,-1.43,407.45,76.67,12.2,-8.79,1.5,0.0,-20.03,-16.26,-18.32,-19.39,-8.78,-8.76,-8.71,-8.6,12.2,12.2,12.2,12.21,0.0,0.0,0.0,4.2
2018-03-27,100,-119,0.0,0.01,0.02,,0.45,-15.82,-18.93,-12.66,196.3,-3.84,354.53,71.0,12.19,-8.8,1.52,0.0,-19.55,-18.81,-18.37,-19.1,-8.79,-8.78,-8.73,-8.63,12.2,12.2,12.2,12.21,0.0,0.0,0.0,3.9
2018-03-28,100,-118,0.0,0.01,0.02,,0.31,-20.1,-22.4,-17.8,155.73,-3.56,339.4,76.13,12.19,-8.8,1.49,0.0,-15.82,-18.46,-17.61,-18.78,-8.8,-8.79,-8.75,-8.66,12.19,12.2,12.2,12.2,0.0,0.0,0.0,2.2
2018-03-29,100,-117,-0.0,0.01,0.02,,0.26,-20.03,-22.85,-18.34,219.36,102.76,269.61,77.07,12.19,-8.81,1.49,0.0,-20.1,-18.49,-17.46,-18.77,-8.8,-8.8,-8.77,-8.68,12.19,12.19,12.2,12.2,0.0,0.0,0.0,0.0
2018-03-30,100,-116,-0.0,0.01,0.01,,0.23,-23.84,-26.56,-21.22,228.6,-3.49,389.36,74.09,12.19,-8.82,1.48,0.0,-20.03,-18.65,-17.75,-18.67,-8.81,-8.8,-8.78,-8.7,12.19,12.19,12.2,12.2,0.0,0.0,0.0,0.0
2018-03-31,100,-115,-0.01,-0.0,0.01,,0.21,-25.6,-28.53,-22.47,166.67,-2.75,382.48,71.61,12.19,-8.83,1.49,0.0,-23.84,-21.32,-19.46,-19.02,-8.82,-8.81,-8.8,-8.72,12.19,12.19,12.19,12.2,0.0,0.0,0.0,0.0
